tag_code,life_stage,release_site_label,release_year,release_date,detection_site_label,detection_site_code,det_lat,det_lon,first_detection,last_detection,count
3D9.1A4FA10411,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,2021,4/30/2021,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2021-12-03 23:16:04,2021-12-03 23:16:04,1
3D9.1A4FA104DA,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,2021,5/4/2021,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2022-03-29 23:10:55,2022-03-29 23:10:55,1
3D9.1A4FA10518,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,2021,5/6/2021,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2022-03-19 20:15:07,2022-03-19 20:15:07,1
3D9.1A4FA12EDF,Larvae,METHR - Methow River,2023,4/6/2023,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2024-02-06 19:25:46,2024-02-06 19:25:46,1
3D9.1A4FAAAAA0,Larvae,METHR - Methow River,2023,6/7/2023,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2024-05-11 23:40:49,2024-05-11 23:40:49,1
3D9.1A4FD26EA6,Larvae,METHR - Methow River,2024,5/10/2024,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2025-05-02 22:03:35,2025-05-02 22:37:27,1
3D9.1A4FD26F1E,Larvae,METHR - Methow River,2024,5/16/2024,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2025-05-26 22:32:28,2025-05-26 22:32:28,1
3D9.1A4FD26F26,Larvae,METHR - Methow River,2024,5/28/2024,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2025-04-21 23:05:59,2025-04-21 23:05:59,1
3D9.1A4FD26F2A,Larvae,METHR - Methow River,2024,5/16/2024,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2025-12-11 10:03:44,2025-12-11 10:03:44,1
3D9.1A4FD26F78,Larvae,METHR - Methow River,2024,6/18/2024,LMR - Lower Methow River at Pateros,LMR,48.074923,-119.956143,2025-04-20 19:54:07,2025-04-20 19:54:07,1
3D9.1A4FD2A0F1,Larvae,TWITRP - Twisp River rotary smolt trap,2025,12/20/2025,TWR - Lwr Twisp Rvr near MSRF Ponds,TWR,48.367135,-120.13833,2025-12-20 23:12:20,2025-12-20 23:12:20,1
3D9.1A4FD2A0F3,Larvae,TWITRP - Twisp River rotary smolt trap,2025,12/23/2025,TWR - Lwr Twisp Rvr near MSRF Ponds,TWR,48.367135,-120.13833,2025-12-24 06:55:34,2025-12-24 06:55:34,1
