tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,comment,length,mark_count
3D9.1A4FA0E6C6,CGS-2023-084-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/29/2023,METHR - Methow River,5/29/2023,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",139,1
3D9.1A4FA0E6DF,CGS-2023-084-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/29/2023,METHR - Methow River,5/29/2023,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",120,1
3D9.1A4FA0E6E4,CGS-2023-084-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/28/2023,METHR - Methow River,5/29/2023,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",126,1
3D9.1A4FA0E6EC,CGS-2023-084-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/30/2023,METHR - Methow River,6/1/2023,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",112,1
3D9.1A4FA0E6F9,CGS-2023-084-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,6/11/2023,METHR - Methow River,6/14/2023,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",103,1
3D9.1A4FA103F4,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",135,1
3D9.1A4FA103F5,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",135,1
3D9.1A4FA103F6,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",120,1
3D9.1A4FA103F7,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",129,1
3D9.1A4FA103F8,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",125,1
3D9.1A4FA103F9,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",112,1
3D9.1A4FA103FA,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",101,1
3D9.1A4FA103FB,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",121,1
3D9.1A4FA103FC,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FA103FD,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",117,1
3D9.1A4FA103FE,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FA103FF,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FA10400,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",134,1
3D9.1A4FA10401,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",132,1
3D9.1A4FA10402,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",120,1
3D9.1A4FA10403,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",123,1
3D9.1A4FA10404,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",125,1
3D9.1A4FA10405,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",128,1
3D9.1A4FA10406,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",108,1
3D9.1A4FA10407,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",113,1
3D9.1A4FA10408,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",125,1
3D9.1A4FA10409,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",117,1
3D9.1A4FA1040A,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",124,1
3D9.1A4FA1040B,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",100,1
3D9.1A4FA1040C,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",132,1
3D9.1A4FA1040D,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",108,1
3D9.1A4FA1040E,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",120,1
3D9.1A4FA1040F,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",127,1
3D9.1A4FA10410,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",127,1
3D9.1A4FA10411,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",117,1
3D9.1A4FA10412,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",101,1
3D9.1A4FA10413,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",119,1
3D9.1A4FA10414,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",118,1
3D9.1A4FA10415,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",97,1
3D9.1A4FA10416,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",128,1
3D9.1A4FA10417,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",122,1
3D9.1A4FA10418,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, MACROPHTHALMIA",134,1
3D9.1A4FA10419,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",105,1
3D9.1A4FA1041A,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",121,1
3D9.1A4FA1041B,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FA1041C,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",118,1
3D9.1A4FA1041D,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",133,1
3D9.1A4FA1041E,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",123,1
3D9.1A4FA1041F,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",143,1
3D9.1A4FA10420,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",100,1
3D9.1A4FA10421,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/2/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",130,1
3D9.1A4FA10422,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",116,1
3D9.1A4FA10423,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",124,1
3D9.1A4FA10424,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",123,1
3D9.1A4FA10425,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",121,1
3D9.1A4FA10426,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METHR - Methow River,5/3/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",128,1
3D9.1A4FA10427,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",133,1
3D9.1A4FA10428,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/27/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/28/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",107,1
3D9.1A4FA10429,CGS-2021-066-KAE.xml,CGS - Charles Snow Projects,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,A,Pacific Lamprey,"10MM TAG, AMMOCOETE",136,1
