tag_code,life_stage,release_site_label,release_site_code,release_site_name,release_date,release_year,release_lat,release_lon,length_mm
3D9.1A4FA0E6C6,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/29/2023,2023,48.151085,-120.056584,139
3D9.1A4FA0E6DF,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/29/2023,2023,48.151085,-120.056584,120
3D9.1A4FA0E6E4,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/29/2023,2023,48.151085,-120.056584,126
3D9.1A4FA0E6EC,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,6/1/2023,2023,48.151085,-120.056584,112
3D9.1A4FA0E6F9,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,6/14/2023,2023,48.151085,-120.056584,103
3D9.1A4FA103F4,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,135
3D9.1A4FA103F5,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,135
3D9.1A4FA103F6,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,120
3D9.1A4FA103F7,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,129
3D9.1A4FA103F8,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,125
3D9.1A4FA103F9,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,112
3D9.1A4FA103FA,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/30/2021,2021,48.151085,-120.056584,101
3D9.1A4FA103FB,Larvae,METHR - Methow River,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/3/2021,2021,48.151085,-120.056584,121
3D9.1A4FA103FC,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,5/1/2021,2021,48.151085,-120.056584,130
3D9.1A4FA103FD,Larvae,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,METTRP,Methow Smolt Trap at McFarland Creek Road Bridge,4/29/2021,2021,48.151085,-120.056584,117
