tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3D9.1A4FA10411,CGS-2021-066-KAE.xml,LMR - Lower Methow River at Pateros,12/3/2021 11:16:04 PM,12/3/2021 11:16:04 PM,Upstream Array,Upstream Array,4/30/2021,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,1
3D9.1A4FA104DA,CGS-2021-066-KAE.xml,LMR - Lower Methow River at Pateros,3/29/2022 11:10:55 PM,3/29/2022 11:10:55 PM,Upstream Array,Upstream Array,5/4/2021,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,1
3D9.1A4FA10518,CGS-2021-066-KAE.xml,LMR - Lower Methow River at Pateros,3/19/2022 8:15:07 PM,3/19/2022 8:15:07 PM,Downstream Array,Downstream Array,5/6/2021,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METTRP - Methow Smolt Trap at McFarland Creek Road Bridge,1
3D9.1A4FA12EDF,CGS-2023-084-KAE.xml,LMR - Lower Methow River at Pateros,2/6/2024 7:25:46 PM,2/6/2024 7:25:46 PM,Upstream Array,Upstream Array,4/6/2023,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FAAAAA0,CGS-2023-084-KAE.xml,LMR - Lower Methow River at Pateros,5/11/2024 11:40:49 PM,5/11/2024 11:40:49 PM,Upstream Array,Upstream Array,6/7/2023,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FD26EA6,CGS-2024-033-KAE.xml,LMR - Lower Methow River at Pateros,5/2/2025 10:03:35 PM,5/2/2025 10:37:27 PM,Upstream Array,Downstream Array,5/10/2024,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FD26F1E,CGS-2024-033-KAE.xml,LMR - Lower Methow River at Pateros,5/26/2025 10:32:28 PM,5/26/2025 10:32:28 PM,Downstream Array,Downstream Array,5/16/2024,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FD26F26,CGS-2024-033-KAE.xml,LMR - Lower Methow River at Pateros,4/21/2025 11:05:59 PM,4/21/2025 11:05:59 PM,Downstream Array,Downstream Array,5/28/2024,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FD26F2A,CGS-2024-033-KAE.xml,LMR - Lower Methow River at Pateros,12/11/2025 10:03:44 AM,12/11/2025 10:03:44 AM,Upstream Array,Upstream Array,5/16/2024,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3D9.1A4FD26F78,CGS-2024-033-KAE.xml,LMR - Lower Methow River at Pateros,4/20/2025 7:54:07 PM,4/20/2025 7:54:07 PM,Upstream Array,Upstream Array,6/18/2024,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
