tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3DD.0078E12856,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/15/2026 2:39:11 AM,8/15/2026 6:22:08 AM,Left Ladder Pool 67,Left Ladder Pool 68,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12857,AJG-2026-204-001.json,RRF - Rocky Reach Fishway,8/16/2026 2:44:44 AM,8/16/2026 2:46:58 AM,Lower Weir,Trap,8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E1287D,AJG-2026-204-001.json,LMR - Lower Methow River at Pateros,8/17/2026 1:07:06 AM,8/17/2026 1:07:20 AM,Downstream Array,Upstream Array,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E1287D,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/14/2026 9:51:50 AM,8/14/2026 9:52:55 AM,Left Ladder Pool 67,Left Ladder Pool 68,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E1288C,AJG-2026-204-001.json,ENL - Lower Entiat River,8/15/2026 1:43:18 PM,8/15/2026 1:43:59 PM,Downstream Array,Upstream Array,8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E128A0,AJG-2026-204-001.json,RRF - Rocky Reach Fishway,8/16/2026 6:38:56 AM,8/16/2026 6:49:04 AM,Lower Weir,Trap,8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C35,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/18/2026 7:06:39 AM,8/18/2026 7:31:51 AM,Left Ladder Pool 67,Left Ladder Pool 68,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C3D,AJG-2026-204-001.json,WEH - Wells Dam Hatchery,8/16/2026 9:02:19 PM,8/17/2026 1:10:36 AM,Volunteer Channel,Volunteer Channel,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C3E,AJG-2026-204-001.json,RRF - Rocky Reach Fishway,8/17/2026 5:08:23 AM,8/17/2026 5:40:25 AM,Lower Weir,Trap,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C4A,AJG-2026-204-001.json,OKL - Lower Okanogan Instream Array,8/16/2026 3:27:10 AM,8/16/2026 3:27:10 AM,Upstream Array,Upstream Array,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C4A,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/12/2026 4:08:49 AM,8/12/2026 9:47:45 PM,Right Ladder Pool 19,Right Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C4B,AJG-2026-204-001.json,LMR - Lower Methow River at Pateros,8/17/2026 9:14:05 PM,8/17/2026 9:14:15 PM,Downstream Array,Upstream Array,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C4B,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/14/2026 12:52:57 AM,8/14/2026 5:15:08 AM,Right Ladder Pool 19,Right Ladder Pool 68,7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C4D,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/11/2026 8:55:37 PM,8/12/2026 12:09:32 PM,Left Ladder Pool 19,Left Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C58,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/4/2026 8:00:47 AM,8/4/2026 8:03:05 AM,Right Ladder Pool 19,Right Ladder Pool 19,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C61,AJG-2026-204-001.json,LMR - Lower Methow River at Pateros,8/13/2026 2:13:15 AM,8/13/2026 2:13:26 AM,Downstream Array,Upstream Array,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C61,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/11/2026 10:39:27 PM,8/11/2026 11:18:44 PM,Left Ladder Pool 67,Left Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C63,AJG-2026-204-001.json,ENA - Upper Entiat River at rkm 17.1,8/12/2026 9:58:27 PM,8/12/2026 9:58:27 PM,DOWNSTREAM ANTENNA ARRAY,DOWNSTREAM ANTENNA ARRAY,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C63,AJG-2026-204-001.json,ENL - Lower Entiat River,8/8/2026 8:17:17 PM,8/8/2026 8:17:35 PM,Downstream Array,Upstream Array,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C69,AJG-2026-204-001.json,"WEA - Wells Dam, DCPUD Adult Ladders",8/5/2026 3:57:26 AM,8/5/2026 8:15:36 PM,Left Ladder Pool 19,Left Ladder Pool 68,7/31/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
3DD.0078E12C6A,AJG-2026-204-001.json,RRF - Rocky Reach Fishway,8/13/2026 2:57:00 AM,8/13/2026 4:11:35 AM,Lower Weir,Trap,8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",1
