tag,mark_file,mark_data_project,mark_site,mark_date,release_site,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,radio_tag,mark_count
3DD.003DF512B0,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,7/23/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",7/24/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,25,1
3DD.0078E12844,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,51,1
3DD.0078E1284A,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,50,1
3DD.0078E1284E,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,77,1
3DD.0078E1284F,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,91,1
3DD.0078E12851,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,53,1
3DD.0078E12854,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,52,1
3DD.0078E12856,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/6/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/7/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,40,1
3DD.0078E12857,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,54,1
3DD.0078E12858,AJG-2026-204-001.json,AJG - Andrew Gingerich Douglas County PUD projects,WELH - Wells Hatchery,8/13/2026,"COLR7 - Columbia River - Lower Crab Creek to Chelan Falls, WA (km 661-809)",8/14/2026,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,65,1
