tag,event_type,event_site,event_date,event_release_site,event_release_date,mark_date,cth_count
3D6.1D59339170,Recapture,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,7/13/2018,1
3DD.003B9C10CD,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10CE,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D0,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D1,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D5,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D6,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D7,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D8,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10D9,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10DB,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10DE,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10DF,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10E0,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10E1,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10E4,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003B9C10E5,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10E9,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10EA,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10EB,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10EC,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10ED,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10EE,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10EF,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F0,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F1,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F2,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F5,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F6,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F8,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10F9,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003B9C10FA,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10FC,Mark,PRD - Priest Rapids Dam,8/17/2018,SIMILR - Similkameen River,8/17/2018,8/17/2018,1
3DD.003B9C10FE,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C10FF,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1100,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1101,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1102,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1104,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1107,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1108,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1109,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C110F,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1111,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1112,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1115,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1116,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1117,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1118,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1119,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C111B,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C111C,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C111E,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1120,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1121,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1122,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1123,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1124,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1125,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1126,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1127,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1128,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C1129,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C112A,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C112B,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C112D,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003B9C112E,Mark,PRD - Priest Rapids Dam,8/10/2018,METHR - Methow River,8/10/2018,8/10/2018,1
3DD.003BB8F306,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCA3E5,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3EA,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3EC,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3F2,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3F3,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3F5,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA3F9,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA400,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA402,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA404,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA405,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA407,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA409,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA40A,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA40F,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA415,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA416,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA418,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA41B,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA41E,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA420,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA423,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA428,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCA444,Mark,PRD - Priest Rapids Dam,8/24/2018,METHR - Methow River,8/24/2018,8/24/2018,1
3DD.003BDCC321,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC325,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC327,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC328,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC32E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC32F,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC331,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC332,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC333,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC336,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC337,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC338,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC340,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC343,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC346,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC347,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC349,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC34B,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC34E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC350,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC352,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC353,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC356,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC359,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC35A,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC35E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC361,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC362,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC363,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC364,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC367,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC369,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36C,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36D,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
3DD.003BDCC36E,Mark,WELH - Wells Hatchery,8/19/2016,TURO - Turtle Rock Pond,8/19/2016,8/19/2016,1
