tag,mark_file,site,first_time,last_time,first_antenna_group,last_antenna_group,release_date,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site,count
3D6.1D59339170,CCC-2018-194-BON.xml,BO1 - Bonneville Bradford Is. Ladder,7/23/2018 3:42:52 AM,7/26/2018 2:32:07 AM,VERTICAL SLOT DETECTORS,VERTICAL SLOT DETECTORS,7/13/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,COLR3 - Columbia River - Lewis River to Bonneville Dam (km 140-234),1
3D6.1D59339170,CCC-2018-194-BON.xml,MC1 - McNary Oregon Shore Ladder,8/9/2018 3:55:47 AM,8/9/2018 8:00:44 PM,COUNTING WINDOW,COUNTING WINDOW,7/13/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,COLR3 - Columbia River - Lewis River to Bonneville Dam (km 140-234),1
3D6.1D59339170,CCC-2018-194-BON.xml,TD2 - The Dalles North Fish Ladder,8/1/2018 9:47:31 PM,8/1/2018 9:47:44 PM,Counting Window,Counting Window,7/13/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,COLR3 - Columbia River - Lewis River to Bonneville Dam (km 140-234),1
3DD.003B9C10CD,AJG-2018-222-CDK.xml,CRU - Upper Chewuch Instream Array,9/4/2018 12:29:55 AM,6/4/2019 4:43:46 PM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10CD,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/31/2018 8:34:09 PM,8/31/2018 8:35:42 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10CD,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:32:36 AM,8/11/2018 2:32:56 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10CD,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 1:59:24 AM,8/15/2018 1:59:24 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10CE,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:25:03 AM,8/11/2018 2:25:08 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D0,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:45:23 AM,8/11/2018 1:45:23 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D1,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/18/2018 9:56:52 PM,8/18/2018 9:58:25 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D1,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/15/2018 12:07:05 AM,8/15/2018 12:07:05 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D5,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:21:08 AM,8/11/2018 2:21:08 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D6,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,6/18/2019 12:21:21 AM,6/22/2019 10:20:28 PM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D8,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/17/2018 9:24:40 PM,7/20/2019 9:10:23 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10D9,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:02:55 AM,8/11/2018 2:02:55 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10DB,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/12/2018 2:21:59 AM,8/12/2018 2:22:10 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10DB,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,6/29/2019 2:35:59 AM,6/29/2019 2:35:59 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10DE,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:58:20 AM,8/11/2018 1:58:20 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10DF,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,4/20/2019 3:52:12 AM,5/18/2020 8:25:45 AM,UPSTREAM ARRAY,DOWNSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10DF,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:36:34 AM,8/11/2018 2:36:34 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E0,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:26:21 AM,8/11/2018 1:26:21 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E1,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 2:24:16 AM,8/11/2018 2:24:16 AM,Downstream Array,Downstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E5,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/31/2018 10:39:56 PM,8/31/2018 10:39:56 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E5,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,9/6/2018 11:27:20 PM,9/6/2018 11:27:20 PM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10E9,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,5/31/2019 8:27:44 PM,5/31/2019 8:31:27 PM,UPSTREAM ARRAY,DOWNSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EA,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 1:40:13 AM,8/11/2018 1:40:21 AM,Downstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EA,AJG-2018-222-CDK.xml,MRC - Methow River at Carlton,8/17/2018 12:16:56 AM,8/17/2018 12:16:56 AM,Single Array,Single Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EB,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 11:18:02 PM,8/11/2018 11:18:02 PM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10EC,AJG-2018-222-CDK.xml,LMR - Lower Methow River at Pateros,8/11/2018 4:08:08 AM,8/11/2018 4:08:08 AM,Upstream Array,Upstream Array,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
3DD.003B9C10ED,AJG-2018-222-CDK.xml,CRW - Chewuch River above Winthrop,8/18/2018 2:09:48 AM,8/18/2018 2:11:19 AM,DOWNSTREAM ARRAY,UPSTREAM ARRAY,8/10/2018,A,Pacific Lamprey,0,N/A,W,Wild Fish or Natural Production,METHR - Methow River,1
