tag_code,release_site,release_date,release_year,release_lat,release_lon
3D6.1D59339170,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003B9C10CD,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10CE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D0,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D5,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D6,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D7,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D8,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10D9,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10DB,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10DE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10DF,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10E0,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10E1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10E4,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003B9C10E5,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10E9,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10EA,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10EB,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10EC,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10ED,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10EE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10EF,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F0,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F1,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F2,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F5,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F6,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F8,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10F9,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003B9C10FA,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10FC,Similkameen River,8/17/2018,2018,48.98607,-119.613005
3DD.003B9C10FE,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C10FF,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1100,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1101,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1102,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1104,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1107,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1108,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1109,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C110F,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1111,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1112,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1115,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1116,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1117,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1118,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1119,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C111B,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C111C,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C111E,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1120,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1121,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1122,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1123,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1124,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1125,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1126,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1127,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1128,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C1129,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C112A,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C112B,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C112D,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003B9C112E,Methow River,8/10/2018,2018,48.05039,-119.904106
3DD.003BB8F306,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCA3E5,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3EA,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3EC,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3F2,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3F3,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3F5,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA3F9,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA400,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA402,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA404,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA405,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA407,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA409,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA40A,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA40F,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA415,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA416,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA418,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA41B,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA41E,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA420,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA423,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA428,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCA444,Methow River,8/24/2018,2018,48.05039,-119.904106
3DD.003BDCC321,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC325,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC327,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC328,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC32E,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC32F,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC331,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC332,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC333,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC336,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC337,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC338,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC340,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC343,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC346,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC347,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC349,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC34B,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC34E,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC350,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC352,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC353,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC356,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC359,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
3DD.003BDCC35A,Rocky Reach Forebay,8/19/2016,2016,47.542169,-120.293332
